ticket_id,bus_id,route_id,source_stop,destination_stop,boarding_date,boarding_time,passenger_count
TKT00001,B101,R01,S09,S10,01-09-2026,18:23,1
TKT00002,B201,R02,S17,S18,02-09-2026,12:12,1
TKT00003,B303,R03,S22,S23,03-09-2026,07:08,1
TKT00004,B402,R04,S07,S06,04-09-2026,18:10,3
TKT00005,B101,R01,S01,S06,05-09-2026,16:20,1
TKT00006,B301,R03,S15,S07,06-09-2026,08:08,3
TKT00007,B303,R03,S15,S22,07-09-2026,09:14,3
TKT00008,B202,R02,S16,S18,08-09-2026,17:57,3
TKT00009,B502,R05,S11,S13,09-09-2026,18:12,2
TKT00010,B303,R03,S15,S22,10-09-2026,07:18,3
TKT00011,B103,R01,S04,S07,11-09-2026,17:55,3
TKT00012,B202,R02,S16,S17,12-09-2026,08:29,2
TKT00013,B101,R01,S04,S06,13-09-2026,13:19,1
TKT00014,B201,R02,S14,S16,14-09-2026,11:00,1
TKT00015,B101,R01,S07,S08,01-09-2026,08:06,2
TKT00016,B303,R03,S19,S20,02-09-2026,19:43,3
TKT00017,B301,R03,S15,S23,03-09-2026,07:23,1
TKT00018,B402,R04,S26,S28,04-09-2026,19:22,1
TKT00019,B501,R05,S02,S03,05-09-2026,11:05,1
TKT00020,B203,R02,S16,S17,06-09-2026,14:53,1
TKT00021,B102,R01,S05,S10,07-09-2026,19:48,3
TKT00022,B503,R05,S13,S07,08-09-2026,09:08,2
TKT00023,B403,R04,S03,S28,09-09-2026,17:57,3
TKT00024,B103,R01,S04,S07,10-09-2026,18:33,2
TKT00025,B202,R02,S13,S15,11-09-2026,20:21,2
TKT00026,B101,R01,S08,S09,12-09-2026,17:14,1
TKT00027,B102,R01,S07,S09,13-09-2026,18:28,2
TKT00028,B503,R05,S02,S04,14-09-2026,15:38,1
TKT00029,B201,R02,S11,S17,01-09-2026,17:58,1
TKT00030,B301,R03,S20,S23,02-09-2026,12:06,1
TKT00031,B202,R02,S13,S16,03-09-2026,07:20,1
TKT00032,B103,R01,S04,S05,04-09-2026,07:09,1
TKT00033,B302,R03,S21,S23,05-09-2026,09:09,2
TKT00034,B402,R04,S06,S01,06-09-2026,13:23,3
TKT00035,B501,R05,S02,S07,07-09-2026,20:23,2
TKT00036,B203,R02,S14,S17,08-09-2026,17:35,2
TKT00037,B203,R02,S14,S15,09-09-2026,14:48,2
TKT00038,B402,R04,S25,S06,10-09-2026,07:58,1
TKT00039,B103,R01,S07,S09,11-09-2026,18:47,2
TKT00040,B201,R02,S13,S17,12-09-2026,07:32,3
TKT00041,B303,R03,S16,S22,13-09-2026,17:13,2
TKT00042,B101,R01,S07,S09,14-09-2026,08:03,1
TKT00043,B103,R01,S05,S10,01-09-2026,07:58,2
TKT00044,B203,R02,S16,S18,02-09-2026,18:03,2
TKT00045,B401,R04,S26,S07,03-09-2026,17:28,2
TKT00046,B403,R04,S24,S03,04-09-2026,08:34,2
TKT00047,B402,R04,S24,S28,05-09-2026,07:12,5
TKT00048,B103,R01,S01,S03,06-09-2026,06:27,2
TKT00049,B401,R04,S26,S07,07-09-2026,18:22,2
TKT00050,B501,R05,S03,S07,08-09-2026,15:08,1
TKT00051,B301,R03,S19,S07,09-09-2026,19:57,4
TKT00052,B103,R01,S07,S09,10-09-2026,10:22,2
TKT00053,B203,R02,S13,S02,11-09-2026,11:52,2
TKT00054,B201,R02,S17,S18,12-09-2026,17:31,2
TKT00055,B103,R01,S08,S09,13-09-2026,19:28,1
TKT00056,B301,R03,S15,S20,14-09-2026,17:07,1
TKT00057,B503,R05,S04,S20,01-09-2026,08:21,1
TKT00058,B402,R04,S25,S26,02-09-2026,19:24,4
TKT00059,B101,R01,S07,S10,03-09-2026,07:42,1
TKT00060,B403,R04,S26,S05,04-09-2026,21:01,1
TKT00061,B403,R04,S03,S01,05-09-2026,08:26,3
TKT00062,B302,R03,S16,S15,06-09-2026,10:29,1
TKT00063,B301,R03,S20,S21,07-09-2026,13:03,1
TKT00064,B501,R05,S31,S20,08-09-2026,09:44,2
TKT00065,B303,R03,S07,S23,09-09-2026,09:46,1
TKT00066,B101,R01,S04,S07,10-09-2026,07:10,1
TKT00067,B202,R02,S16,S17,11-09-2026,19:16,2
TKT00068,B303,R03,S22,S23,12-09-2026,11:24,1
TKT00069,B501,R05,S07,S20,13-09-2026,17:49,2
TKT00070,B201,R02,S15,S16,14-09-2026,16:11,2
TKT00071,B303,R03,S06,S07,01-09-2026,09:59,2
